customer,name,name_norm,terms,terms_description,ship_via,def_wh,div,active,addr1,city,state,postal
GIFT4LESS,GIFTS 4 LESS,GIFTS4LESS,CC,CREDIT CARD,,,,N,1720 E. CHARLESTON BLV. 3D-08,LAS VEGAS,NV,89104
GIFTBDESIG,GIFTS BY DESIGN INC.,GIFTSBYDESIGNINC,CC,CREDIT CARD,,,,Y,66S. HANFORD ST,SEATTLE,WA,19134
GIFTNGLITZ,GIFTS N GLITZ,GIFTSNGLITZ,CC,CREDIT CARD,,,,N,805-93 CAMINO SAN GREGORIO,INDO,CA,92203
GIFTNNEWS,GIFT 'N NEWS PLUS/DBA GATEWAY NEWSTANDS,GIFTNNEWSPLUSDBAGATEWAYNEWSTANDS,,,,,,N,3393 PEACH TREE ROAD NE,ATLANTA,GA,30326
GIFTPALACE,GIFT PALACE,GIFTPALACE,C3,CIT NET 30,FEDGROUND,,,Y,DUBAI,DUBAI,AE,X
GIFTSTOP1,GIFT STOP FERHAN AMAN,GIFTSTOPFERHANAMAN,30,NET 30,,,,N,8000 HARWIN SUITE 540-A,HOUSTON,TX,77036
GILBERTSGI,GILBERTS GIFT,GILBERTSGIFT,CC,CREDIT CARD,,,,N,30 OLD FISHERMANS WHARF,MONTEREY,CA,93940
GINAGROUP,GINA GROUP,GINAGROUP,,,,,,Y,10 WEST 33RD,NEW YORK,NY,10001
GIORGIOS,GIORGIOS FINE MENSWEAR,GIORGIOSFINEMENSWEAR,CO,C.O.D.,,,,N,1340 BONITA LAKES CIR,MERIDIAN,MS,39301
GIOVANNIS,GIOVANNIES TRENDS,GIOVANNIESTRENDS,30,NET 30,,,,N,134 MERRIMACK STREET LOWELL,MASSACHUSETTS,MA,01852
GIRLSONTHE,GIRLS ON THE GO CARRIE,GIRLSONTHEGOCARRIE,CC,CREDIT CARD,,,,N,12961 73RD AVENUE NORTH MAPLE GROVE,OSSEO,MN,55369
GLAMOUR,GLAMOUR,GLAMOUR,WR,WIRE,,,,Y,BP 6407 LIBREVILLE,LIBREVILLE,XX,XXXXX
GLGINVESTM,GLG INVESTMENT GROUP INC,GLGINVESTMENTGROUPINC,C3,CIT NET 30,,,,N,LAILA ROWE,SOUTH HACKENSACK,NJ,07606
GLOBAL,GLOBAL TRADING CO.,GLOBALTRADINGCO,C3,CIT NET 30,,,,N,945 S. GREENWOOD AVENUE UNIT#G,MONTREBELLO,CA,90640
GLOBESKIDS,GLOBES KIDS,GLOBESKIDS,CC,CREDIT CARD,,,,N,917 RED BANKS RD,GREENULK,NC,27858
